,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360,mediana Dispositivos,mediana Sistema operativo,mediana Agrupación de canales predeterminada
0,71.0,39.0,39.0,1.2051282,47.0,70.0,1.0,37.0,34.0,0.0,23.666666,16.779617,31.0,37.0,0.0,3.0,0.0,0.0,0,0.0,0,7.888889,14.058959,45.0,2.0,20.0,4.0,17.75,17.210098,106.90560747663551,124.82723,120.16915,118.39103,97.39639,34.0,0.0,12.0
1,279.0,142.0,147.0,1.1564626,170.0,222.0,57.0,155.0,124.0,0.0,93.0,66.96765,103.0,130.0,0.0,21.0,0.0,25.0,0,0.0,0,31.0,47.05316,81.0,42.0,151.0,5.0,69.75,54.061886,106.90560747663551,124.82723,120.16915,118.39103,97.39639,124.0,0.0,61.5
2,207.0,103.0,117.0,1.2307693,144.0,174.0,33.0,124.0,81.0,2.0,69.0,50.523922,74.0,106.0,3.0,4.0,0.0,20.0,0,0.0,0,23.0,37.08249,67.0,18.0,114.0,8.0,51.75,42.310608,106.90560747663551,124.82723,120.16915,118.39103,97.39639,81.0,3.0,42.5
3,110.0,77.0,81.0,1.074074,87.0,86.0,24.0,72.0,37.0,1.0,36.666668,28.986588,36.0,64.0,1.0,0.0,0.0,9.0,0,0.0,0,12.222222,21.42054,24.0,16.0,31.0,39.0,27.5,8.5,106.90560747663551,124.82723,120.16915,118.39103,97.39639,37.0,0.0,27.5
4,80.0,53.0,57.0,1.0526316,60.0,60.0,20.0,48.0,30.0,2.0,26.666666,18.92676,28.0,49.0,1.0,1.0,0.0,1.0,0,0.0,0,8.888889,16.58945,15.0,34.0,17.0,14.0,20.0,8.154754,106.90560747663551,124.82723,120.16915,118.39103,97.39639,30.0,1.0,16.0
5,61.0,23.0,29.0,1.0344827,30.0,46.0,15.0,36.0,23.0,2.0,20.333334,14.007935,23.0,34.0,0.0,0.0,0.0,4.0,0,0.0,0,6.7777777,11.960841,28.0,4.0,19.0,10.0,15.25,9.0932665,105.63385826771653,124.82723,120.16915,118.39103,97.39639,23.0,0.0,14.5
6,74.0,46.0,51.0,1.117647,57.0,59.0,15.0,34.0,40.0,0.0,24.666666,17.613127,39.0,30.0,0.0,1.0,0.0,4.0,0,0.0,0,8.222222,14.257768,39.0,0.0,13.0,22.0,18.5,14.186261,105.63385826771653,124.82723,120.16915,118.39103,97.39639,34.0,0.0,17.5
7,130.0,44.0,52.0,1.1538461,60.0,119.0,11.0,40.0,90.0,0.0,43.333332,36.81787,85.0,39.0,1.0,4.0,0.0,1.0,0,0.0,0,14.444445,27.661089,54.0,3.0,63.0,10.0,32.5,26.310644,105.63385826771653,124.82723,120.16915,118.39103,97.39639,40.0,1.0,32.0
8,143.0,41.0,51.0,1.3137255,67.0,133.0,10.0,23.0,120.0,0.0,47.666668,52.002136,118.0,21.0,1.0,1.0,0.0,2.0,0,0.0,0,15.888889,36.66498,83.0,7.0,48.0,5.0,35.75,32.228676,105.63385826771653,124.82723,120.16915,118.39103,97.39639,23.0,1.0,27.5
9,225.0,39.0,47.0,1.3829787,65.0,216.0,9.0,109.0,115.0,1.0,75.0,52.3832,115.0,108.0,0.0,0.0,0.0,2.0,0,0.0,0,25.0,46.26974,122.0,8.0,90.0,5.0,56.25,51.03124,105.63385826771653,124.82723,120.16915,118.39103,97.39639,109.0,0.0,49.0
10,253.0,46.0,55.0,1.2181818,67.0,229.0,24.0,115.0,137.0,1.0,84.333336,59.606113,133.0,114.0,1.0,3.0,0.0,2.0,0,0.0,0,28.11111,51.193413,138.0,6.0,109.0,0.0,63.25,61.152985,106.90560747663551,124.82723,120.16915,118.39103,97.39639,115.0,1.0,57.5
11,73.0,21.0,28.0,1.1785715,33.0,68.0,5.0,55.0,18.0,0.0,24.333334,22.895899,18.0,53.0,0.0,0.0,0.0,2.0,0,0.0,0,8.111111,16.81563,32.0,3.0,37.0,1.0,18.25,16.361158,106.90560747663551,124.82723,120.16915,118.39103,97.39639,18.0,0.0,17.5
12,82.0,28.0,34.0,1.2424242,41.0,76.0,6.0,21.0,61.0,0.0,27.333334,25.302612,58.0,20.0,0.0,3.0,0.0,1.0,0,0.0,0,9.111111,18.339056,67.0,1.0,11.0,3.0,20.5,27.106272,106.90560747663551,124.82723,120.16915,118.39103,97.39639,21.0,0.0,7.0
13,197.0,32.0,45.0,1.2,54.0,166.0,31.0,28.0,169.0,0.0,65.666664,73.95644,163.0,28.0,5.0,1.0,0.0,0.0,0,0.0,0,21.88889,50.625957,147.0,0.0,42.0,8.0,49.25,58.597675,106.90560747663551,124.82723,120.16915,118.39103,97.39639,28.0,0.0,25.0
14,122.0,35.0,40.0,1.1,44.0,115.0,7.0,33.0,89.0,0.0,40.666668,36.736298,88.0,31.0,0.0,1.0,0.0,2.0,0,0.0,0,13.555555,28.00044,48.0,0.0,73.0,1.0,30.5,31.276989,106.90560747663551,124.82723,120.16915,118.39103,97.39639,33.0,0.0,24.5
