,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360,mediana Dispositivos,mediana Sistema operativo,mediana Agrupación de canales predeterminada
0,38.0,23.0,23.0,1.173913,27.0,37.0,1.0,30.0,8.0,0.0,12.666667,12.684198,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.2222223,9.4490185,19.0,3.0,15.0,1.0,9.5,7.664855,30.198019801980198,31.935064,26.653225,19.886524,23.640625,8.0,0.0,9.0
1,35.0,22.0,23.0,1.0434783,24.0,33.0,2.0,21.0,14.0,0.0,11.666667,8.730534,14.0,18.0,0.0,0.0,0.0,3.0,0.0,0,0.0,3.8888888,6.6071415,8.0,1.0,26.0,0.0,8.75,10.42533,30.198019801980198,31.935064,26.653225,19.886524,23.640625,14.0,0.0,4.5
2,46.0,16.0,21.0,1.1428572,24.0,41.0,5.0,37.0,9.0,0.0,15.333333,15.75507,7.0,36.0,0.0,2.0,0.0,1.0,0.0,0,0.0,5.111111,11.129984,11.0,13.0,22.0,0.0,11.5,7.826238,30.198019801980198,31.935064,26.653225,19.886524,23.640625,9.0,0.0,12.0
3,32.0,10.0,13.0,1.0769231,14.0,26.0,6.0,20.0,12.0,0.0,10.666667,8.219218,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5555556,6.913933,7.0,2.0,23.0,0.0,8.0,9.027735,30.198019801980198,31.935064,26.653225,19.886524,23.640625,12.0,0.0,4.5
4,15.0,9.0,10.0,1.0,10.0,14.0,1.0,8.0,7.0,0.0,5.0,3.559026,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.6666666,3.1269438,6.0,0.0,9.0,0.0,3.75,3.8971143,30.198019801980198,31.935064,26.653225,19.886524,23.640625,7.0,0.0,3.0
5,12.0,6.0,7.0,1.0,7.0,10.0,2.0,9.0,3.0,0.0,4.0,3.7416575,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3333334,2.8674417,10.0,0.0,2.0,0.0,3.0,4.1231055,30.198019801980198,31.935064,26.653225,19.886524,23.640625,3.0,0.0,1.0
6,9.0,5.0,6.0,1.0,6.0,5.0,4.0,2.0,7.0,0.0,3.0,2.9439204,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0,0.0,1.0,1.4907119,8.0,0.0,1.0,0.0,2.25,3.344772,30.17684210526316,31.935064,26.653225,19.886524,23.640625,2.0,0.0,0.5
7,68.0,36.0,40.0,1.125,45.0,67.0,1.0,52.0,16.0,0.0,22.666666,21.746008,16.0,51.0,0.0,0.0,0.0,1.0,0.0,0,0.0,7.5555553,16.139057,9.0,16.0,43.0,0.0,17.0,16.046806,30.17684210526316,31.935064,26.653225,19.886524,23.640625,16.0,0.0,12.5
8,26.0,9.0,13.0,1.1538461,15.0,25.0,1.0,17.0,9.0,0.0,8.666667,6.9442225,9.0,14.0,0.0,0.0,0.0,3.0,0.0,0,0.0,2.8888888,4.8406715,11.0,3.0,12.0,0.0,6.5,5.1234756,30.17684210526316,31.935064,26.653225,19.886524,23.640625,9.0,0.0,7.0
9,53.0,21.0,23.0,1.3478261,31.0,46.0,7.0,41.0,12.0,0.0,17.666666,17.211107,12.0,37.0,0.0,0.0,0.0,4.0,0.0,0,0.0,5.888889,11.627978,20.0,2.0,31.0,0.0,13.25,12.871965,30.17684210526316,31.935064,26.653225,19.886524,23.640625,12.0,0.0,11.0
