,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360,mediana Dispositivos,mediana Sistema operativo,mediana Agrupación de canales predeterminada
0,541.0,22.0,22.0,1.6363636,36.0,540.0,1.0,49.0,492.0,0.0,180.33333,221.28764,89.0,48.0,400.0,3.0,0.0,1.0,0.0,0.0,0,54.1,118.729485,41.0,0.0,485.0,15.0,135.25,202.46034,89.6971671388102,104.5151,100.866425,99.52464,100.1708,49.0,1.0,28.0
1,226.0,23.0,26.0,1.3461539,35.0,212.0,14.0,8.0,211.0,7.0,75.333336,95.93169,99.0,8.0,112.0,0.0,0.0,7.0,0.0,0.0,0,22.6,41.653812,25.0,0.0,201.0,0.0,56.5,84.049095,89.6971671388102,104.5151,100.866425,99.52464,100.1708,8.0,0.0,12.5
2,136.0,18.0,24.0,1.4583334,35.0,133.0,3.0,17.0,119.0,0.0,45.333332,52.550507,59.0,17.0,60.0,0.0,0.0,0.0,0.0,0.0,0,13.6,23.495531,40.0,0.0,96.0,0.0,34.0,39.34463,89.6971671388102,104.5151,100.866425,99.52464,100.1708,17.0,0.0,20.0
3,229.0,11.0,16.0,1.8125,29.0,224.0,5.0,14.0,215.0,0.0,76.333336,98.218575,94.0,14.0,116.0,5.0,0.0,0.0,0.0,0.0,0,22.9,41.555866,9.0,0.0,220.0,0.0,57.25,94.03557,89.6971671388102,104.5151,100.866425,99.52464,100.1708,14.0,0.0,4.5
4,60.0,10.0,13.0,1.4615384,19.0,56.0,4.0,20.0,40.0,0.0,20.0,16.329931,37.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0,6.0,11.907981,14.0,0.0,24.0,22.0,15.0,9.433981,89.6971671388102,104.5151,100.866425,99.52464,100.1708,20.0,0.0,18.0
5,83.0,8.0,11.0,1.1818181,13.0,82.0,1.0,31.0,52.0,0.0,27.666666,21.35936,52.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.3,17.251377,79.0,0.0,4.0,0.0,20.75,33.670277,89.6971671388102,104.5151,100.866425,99.52464,100.1708,31.0,0.0,2.0
6,19.0,5.0,7.0,1.0,7.0,14.0,5.0,8.0,11.0,0.0,6.3333335,4.642796,11.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.9,3.6728735,5.0,0.0,14.0,0.0,4.75,5.7172985,89.6971671388102,104.5151,100.866425,99.52464,100.1708,8.0,0.0,2.5
7,32.0,9.0,10.0,1.0,10.0,29.0,3.0,4.0,25.0,3.0,10.666667,10.143416,14.0,4.0,1.0,10.0,0.0,3.0,0.0,0.0,0,3.2,4.6861496,22.0,0.0,10.0,0.0,8.0,9.055386,87.43832853025937,104.5151,100.866425,99.52464,100.1708,4.0,1.0,5.0
8,196.0,11.0,20.0,1.6,32.0,172.0,24.0,34.0,162.0,0.0,65.333336,69.74876,88.0,33.0,74.0,0.0,0.0,1.0,0.0,0.0,0,19.6,32.354908,14.0,1.0,130.0,51.0,49.0,50.23445,87.43832853025937,104.5151,100.866425,99.52464,100.1708,34.0,0.0,32.5
9,237.0,8.0,14.0,1.5,21.0,237.0,0.0,4.0,232.0,1.0,79.0,108.19427,136.0,4.0,96.0,0.0,0.0,1.0,0.0,0.0,0,23.7,47.023506,33.0,0.0,155.0,49.0,59.25,58.036087,87.43832853025937,104.5151,100.866425,99.52464,100.1708,4.0,0.0,41.0
