,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360
0,200.0,23.0,23.0,1.2173913,28.0,200.0,0.0,23.0,177.0,0.0,66.666664,78.58046,165.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,48.885582,15.0,6.0,179.0,0.0,50.0,74.66927,22.02433234421365,32.2905,33.648197,34.116962,34.36589
1,70.0,29.0,33.0,1.1212121,37.0,69.0,1.0,29.0,41.0,0.0,23.333334,17.211107,38.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,13.416408,18.0,7.0,45.0,0.0,17.5,17.124544,22.02433234421365,32.2905,33.648197,34.116962,34.36589
2,323.0,20.0,27.0,1.3333334,36.0,320.0,3.0,28.0,295.0,0.0,107.666664,132.95697,290.0,28.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,32.3,86.2949,18.0,1.0,302.0,2.0,80.75,127.91672,22.02433234421365,32.2905,33.648197,34.116962,34.36589
3,151.0,10.0,15.0,1.2,18.0,149.0,2.0,44.0,107.0,0.0,50.333332,43.911526,104.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,32.374218,6.0,0.0,145.0,0.0,37.75,61.969246,22.02433234421365,32.2905,33.648197,34.116962,34.36589
4,37.0,12.0,13.0,1.1538461,15.0,37.0,0.0,18.0,19.0,0.0,12.333333,8.730534,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,7.1561165,5.0,11.0,21.0,0.0,9.25,7.8222437,22.02433234421365,32.2905,33.648197,34.116962,34.36589
5,82.0,21.0,28.0,1.1785715,33.0,78.0,4.0,41.0,41.0,0.0,27.333334,19.327585,37.0,41.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8.2,15.445388,21.0,23.0,38.0,0.0,20.5,13.536986,22.02433234421365,32.2905,33.648197,34.116962,34.36589
6,296.0,29.0,35.0,1.2571429,44.0,295.0,1.0,39.0,257.0,0.0,98.666664,113.08502,245.0,39.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,29.6,72.70791,24.0,19.0,253.0,0.0,74.0,103.73283,22.02433234421365,32.2905,33.648197,34.116962,34.36589
7,250.0,67.0,75.0,1.0933334,82.0,247.0,3.0,84.0,166.0,0.0,83.333336,67.77086,164.0,76.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,25.0,51.468437,9.0,18.0,223.0,0.0,62.5,92.88299,22.02433234421365,32.2905,33.648197,34.116962,34.36589
8,160.0,37.0,52.0,1.1346154,59.0,159.0,1.0,39.0,121.0,0.0,53.333332,50.427067,116.0,37.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,35.05139,16.0,17.0,127.0,0.0,40.0,50.68037,22.02433234421365,32.2905,33.648197,34.116962,34.36589
9,59.0,18.0,30.0,1.2,36.0,58.0,1.0,30.0,29.0,0.0,19.666666,13.912424,28.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,11.562439,25.0,9.0,25.0,0.0,14.75,10.732544,22.02433234421365,32.2905,33.648197,34.116962,34.36589
10,90.0,19.0,29.0,1.3448275,39.0,86.0,4.0,32.0,58.0,0.0,30.0,23.720596,55.0,30.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,9.0,17.686153,20.0,11.0,58.0,1.0,22.5,21.569654,22.02433234421365,32.2905,33.648197,34.116962,34.36589
11,58.0,24.0,33.0,1.1818181,39.0,54.0,4.0,36.0,22.0,0.0,19.333334,14.817408,21.0,32.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.8,10.675205,7.0,17.0,34.0,0.0,14.5,12.776933,22.02433234421365,32.2905,33.648197,34.116962,34.36589
12,38.0,15.0,22.0,1.2272727,27.0,38.0,0.0,10.0,28.0,0.0,12.666667,11.585431,23.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8,7.0823727,14.0,6.0,18.0,0.0,9.5,6.98212,22.02433234421365,32.2905,33.648197,34.116962,34.36589
